ligand,target,weight
CDH1,CAPZB,0.000300209128700309
CDH1,CDH1,0.212729246817378
CDH1,EXOC3,0.000699980773079081
CDH1,ITGB7,0.0010199061048865
CDH1,MAP2K1,0.000316680370098935
CDH1,RAB8B,0.000397877202700514
CDH1,SKIL,0.000510244813566179
ALOX5AP,ALOX5,0.00522545975917695
ALOX5AP,ALOX5AP,0.211454893950536
ALOX5AP,ARPC3,0.000666645995156894
ALOX5AP,CAPZA1,0.000839356944151135
ALOX5AP,LDHA,0.000641190765223663
ALOX5AP,NR4A3,0.000665884776775253
ALOX5AP,TMEM120B,0.00109283789763057
IL1A,CDH1,0.00057625839359269
IL1A,IL1A,0.21183910903097
IL1A,IL1R1,0.00172582158664132
IL1A,IL2RG,0.000479711679908599
IL1A,MAP4K4,0.000446494605743938
IL1A,TAB2,0.000468352303551131
ALCAM,ALCAM,0.220085863177979
ALCAM,CAPZB,0.000231535713167242
ALCAM,CD86,0.00030851173723968
ALCAM,CDH1,0.00298088206975629
ALCAM,FLT1,0.000222689585932269
ALCAM,RASGRP3,0.00162651118220331
ALCAM,TRIM28,0.000361378807830287
IL18,CAPZB,0.000767351274551063
IL18,CIITA,0.00109470132854875
IL18,ETV3,0.000805910121418267
IL18,GNG5,0.00028829781875478
IL18,IL18,0.211457327830071
IL18,IL1R1,0.00186656264160379
IL18,IL1RL2,0.0017295189384301
IL18,IL2RG,0.00123838268336782
IL18,TNFRSF1B,0.000783158165558675
LTB,CFLAR,0.000431444491751064
LTB,LTB,0.211472338058516
LTB,MAP4K4,0.000587696567570466
LTB,TAB2,0.000304230361275373
LTB,TCHH,0.00149655378777245
LTB,TNFRSF1B,0.00478529653638288
LTB,TRAF1,0.00113678602291217
LTB,TRAF4,0.000391160877205365
LTB,TXN,0.000229056526302911
S100B,ALCAM,0.00147067129381287
S100B,CA2,0.000646877026829534
S100B,CAPZA1,0.00225224468136429
S100B,CDH1,0.00031794899931375
S100B,S100B,0.21144144900409
S100B,TAB2,0.000734745622873558
S100B,TRAF1,0.00106141239846227
EFNB3,ACTR3,0.00139224750240061
EFNB3,ARPC3,0.00135535756921025
EFNB3,CDH1,0.00027377402008032
EFNB3,CDYL,0.000406123362578495
EFNB3,EFNB3,0.211447448380917
EFNB3,MAP2K1,0.00351175055550727
EFNB3,MYL12A,0.00327201943828056
EFNB3,TIAM1,0.00130026534754734
SEMA7A,ACTR3,0.000452005263353519
SEMA7A,CDH1,0.000470379115952306
SEMA7A,EEF1G,0.000368938893572702
SEMA7A,HNRNPF,0.000421394799491039
SEMA7A,RPSA,0.000576249209689289
SEMA7A,SEMA7A,0.211447091939898
SEMA7A,TRIM28,0.000427965617682301
ICAM3,CAPZB,0.000278339396485371
ICAM3,CDH1,0.000322001568371164
ICAM3,CYLD,0.000262121092183033
ICAM3,ICAM3,0.216031903412085
ICAM3,ITGB7,0.000324910987076962
ICAM3,LIMS2,0.000262703153018093
ICAM3,PRKCB,0.000247576608936111
ICAM3,RDX,0.00287679559167144
ICAM3,SHC3,0.000280581209694118
ICAM3,SPN,0.0002528138211794
RPS19,GSPT1,0.00127208069547187
RPS19,RPL10A,0.00157355746782757
RPS19,RPL15,0.00159244118508527
RPS19,RPL3,0.00137164205961765
RPS19,RPL35,0.00137225748107829
RPS19,RPS19,0.211434290548556
RPS19,RPS23,0.00181097899507295
RPS19,RPS24,0.00173104627542996
RPS19,RPS3A,0.00152164852653338
RPS19,RPSA,0.00150525283388727
RPS19,SEC61B,0.00127263274152051
RPS19,SEC61G,0.00138354956814233
RPS19,UPF3B,0.0013751147425314
CD58,ALCAM,0.00145436831591028
CD58,CAPZA1,0.00101358574115865
CD58,CD58,0.211451003182687
CD58,CD86,0.00129954211968219
CD58,CDH1,0.000336014335473897
CD58,NR4A3,0.00102126188995069
HLA-DQB1,ACTR3,0.000357794301926527
HLA-DQB1,AKR1A1,0.00101710934908957
HLA-DQB1,AP1S3,0.00266689655669788
HLA-DQB1,ARPC3,0.00037492410712143
HLA-DQB1,CD1A,0.000239217343762488
HLA-DQB1,CD86,0.000253038416471197
HLA-DQB1,CDH1,0.000282188352734512
HLA-DQB1,HLA-DQB1,0.211440748765315
HLA-DQB1,PRKCB,0.000257338570883375
HLA-DQB1,RAB5A,0.000241644893871635
HLA-DRB5,ACTR3,0.000373886476231982
HLA-DRB5,AP1S3,0.00317488380649993
HLA-DRB5,ARPC3,0.000394410929623139
HLA-DRB5,CD1A,0.000296263152236827
HLA-DRB5,CD86,0.000302164547413076
HLA-DRB5,HLA-DRB5,0.211440346143179
HLA-DRB5,IL2RG,0.000252268179792348
HLA-DRB5,PKM,0.000981735666534323
HLA-DRB5,PRKCB,0.000298944973510593
HLA-DRB5,RAB5A,0.000256806706839223
MSN,ACTR3,0.000864453393977805
MSN,CAPZB,0.00114391286923186
MSN,HINT1,0.000391298323010166
MSN,ICAM3,0.00333785671029802
MSN,LCP1,0.000675546722849619
MSN,NME2,0.000460630322298127
MSN,RDX,0.00176343799110347
MSN,SPN,0.00317985429794334
SPN,ACTR3,0.000235171669067339
SPN,ARPC3,0.000214154226419579
SPN,CAPZB,0.00023051962768304
SPN,CDH1,0.000286252863872482
SPN,RDX,0.00367731013816801
SPN,SPN,0.213828258511625
ICAM1,ALCAM,0.000739409151208944
ICAM1,ARL4C,0.000485829991187278
ICAM1,CAPZB,0.000546048832130685
ICAM1,CD86,0.000498825945704843
ICAM1,CDH1,0.000712605090903588
ICAM1,ICAM3,0.000624016119180182
ICAM1,IL1R1,0.000587679756644828
ICAM1,IL2RG,0.00157608300470673
ICAM1,RDX,0.000697217836078023
ICAM1,RPS23,0.000499164609505128
ICAM1,RPS3A,0.000494511929136948
ICAM1,SPN,0.0020214388477476
CD40,ADCY3,0.000561680144667741
CD40,CD86,0.000537249984874491
CD40,CFLAR,0.000743811768045389
CD40,CIITA,0.000491866993036862
